t,H_err,Max_Rho,CM_Left,CM_Right,Radiation,Phase_Shift_Left,Phase_Shift_Right
0.0,2.7140847820797947e-08,1.022803848495832,-25.011660630019374,25.01166063001764,0.0006236021667092029,0.0,0.0
0.2,1.087844940572053e-05,1.0235630960252926,-24.79602797105602,24.7960279710544,0.0006313466627602127,0.0,0.0
0.4,2.169928971984046e-05,1.025206263104872,-24.580457912203354,24.58045791220185,0.000631816543751551,0.0,0.0
0.6,3.24590724807138e-05,1.0273751199747685,-24.365009331214665,24.36500933121327,0.00063308314452315,0.0,0.0
0.8,4.312732293470936e-05,1.029695623882096,-24.14974196927517,24.149741969273858,0.0006351484505181526,0.0,0.0
1.0,5.367385922536035e-05,1.0320384366007225,-23.93471535264139,23.93471535264017,0.0006362180814006857,0.0,0.0
1.2,6.406902712536059e-05,1.0345882613116566,-23.7199886965348,23.719988696533655,0.0006395080148809962,0.0,0.0
1.4000000000000001,7.428395121702905e-05,1.0376855323106735,-23.505620839030552,23.505620839029465,0.0006436488655306993,0.0,0.0
1.6,8.429077858659443e-05,1.0416584696593074,-23.291670103964123,23.29167010396307,0.0006486544565913466,0.0,0.0
1.8,9.406291028407785e-05,1.046750916464189,-23.07819406668654,23.078194066685533,0.0006545330786056347,0.0,0.0
2.0,0.00010357521579317459,1.0531186875673093,-22.865249253021343,22.865249253020355,0.0006612837346129385,0.0,0.0
2.2,0.00011280421652153891,1.0608502560628543,-22.652890831081262,22.65289083108027,0.0006655189193439659,-0.003058819491311482,0.003058819491311482
2.4,0.00012172822581870424,1.0699889699091263,-22.441172343129793,22.441172343128805,0.0006737109399940211,-0.003768049572329346,0.003768049572329346
2.6,0.00013032744812711746,1.0805498347923628,-22.230145476600715,22.230145476599713,0.0006827162962276256,-0.004565853421102162,0.004565853421102162
2.8000000000000003,0.00013858405581872803,1.0925304363788586,-22.019859824074647,22.019859824073613,0.000692474055161818,-0.005453849303371783,0.005453849303371783
3.0,0.00014648226850818696,1.1059174495466608,-21.810362561355713,21.81036256135463,0.0007029111437011348,-0.006432740308916607,0.006432740308916607
3.2,0.00015400845396080153,1.120818986229404,-21.601697981718942,21.601697981717816,0.000713947891166633,-0.007502050880130895,0.007502050880130895
3.4,0.00016115125818439596,1.1374278791740666,-21.393906856797816,21.393906856796644,0.0007213679177211496,-0.008659751144278971,0.008659751144278971
3.6,0.00016790176219487696,1.155405430968764,-21.187025630498017,21.187025630496777,0.0007332986674455366,-0.009901800743779887,0.009901800743779887
3.8000000000000003,0.0001742536552098623,1.1746906459968003,-20.98108548138862,20.98108548138733,0.0007456781528957235,-0.011221658020055258,0.011221658020055258
4.0,0.00018020340858836866,1.1952069533793868,-20.77611131159982,20.77611131159845,0.0007584969294364141,-0.012609807649159421,0.012609807649159421
4.2,0.00018575043010783817,1.2168581172185273,-20.57212073124558,20.57212073124416,0.0007717882708113688,-0.009058416342281106,0.009058416342281106
4.4,0.00019089717717979824,1.2395231980190105,-20.369123113925625,20.36912311392415,0.000785643348725662,-0.0042519709014499085,0.0042519709014499085
4.6000000000000005,0.00019564920833282972,1.2631850454695042,-20.167118800052297,20.16711880005078,0.0008002112116398674,0.001906632170051381,-0.001906632170051381
4.8,0.000200015156015223,1.2874681902681104,-19.96609851852867,19.966098518527087,0.0008155903952363763,0.009503626048442015,-0.009503626048442015
5.0,0.0002040066103357473,1.3120497042069132,-19.76604309116849,19.76604309116685,0.0008316320432688595,0.018611455316765557,-0.018611455316765557
5.2,0.0002076379157959623,1.3367622732166606,-19.566923464946854,19.566923464945134,0.0008478694981448598,0.029285173037550294,-0.029285173037550294
5.4,0.00021092588261826487,1.3614910660510178,-19.368701099891485,19.36870109988967,0.0008636703761354392,0.04155860029524305,-0.04155860029524305
5.6000000000000005,0.0002138894079283554,1.3857619127997656,-19.17132871281349,19.171328712811565,0.0008784656038781646,0.05544049274834606,-0.05544049274834606
5.8,0.00021654900321706617,1.4092084055979517,-18.97475134834611,18.974751348344075,0.0008919095568906688,0.0709109699942374,-0.0709109699942374
6.0,0.00021892623463676584,1.4314511381973272,-18.778907719048473,18.77890771904631,0.0009039930024757892,0.08791847562258326,-0.08791847562258326
6.2,0.00022104311711648004,1.452114031805392,-18.58373172957727,18.58373172957498,0.0009150594029149195,0.1063775464024701,-0.1063775464024701
6.4,0.0002229215293439165,1.4716243078596118,-18.38915407822596,18.389154078223537,0.000925577527978283,0.1261676724865204,-0.1261676724865204
