t,H_err,Max_Rho,CM_Left,CM_Right,Radiation,Phase_Shift_Left,Phase_Shift_Right
5.4,5.39698185241056e-05,1.1109628462430439,-12.618061952265332,12.618061952257811,1.2760725251803606e-05,-0.0006569827323872346,0.0006569827323872346
5.7,5.675629111614738e-05,1.1116012572507403,-12.489086889233356,12.489086889225323,1.3986699654466861e-05,-0.0006468990242698425,0.0006468990242698425
6.0,5.9529350731496206e-05,1.1125630640973057,-12.360141266689938,12.360141266681387,1.509855315640074e-05,-0.0006199014154955051,0.0006199014154955051
6.3,6.229414825613684e-05,1.113032652691552,-12.231218868265751,12.231218868256658,1.638232856160382e-05,-2.190173547411689e-05,2.190173547411689e-05
6.6000000000000005,6.505613823362323e-05,1.1135976550897255,-12.10231346072683,12.102313460717188,1.846922090209535e-05,0.0006728376649149936,-0.0006728376649149936
6.9,6.78207502441854e-05,1.1141606237693866,-11.97341887312056,11.973418873110342,2.0106434981514987e-05,0.0014486499144847897,-0.0014486499144847897
7.2,7.059319826586585e-05,1.1142420303294267,-11.844529066024363,11.844529066013559,2.189429774734908e-05,0.0022875809798943436,-0.0022875809798943436
7.5,7.337836846474603e-05,1.11461117359919,-11.715638195290795,11.715638195279393,2.491729174636248e-05,0.003169871442976202,-0.003169871442976202
7.8,7.618060423445818e-05,1.1147827772764425,-11.586740669272404,11.586740669260367,2.7316498008356227e-05,0.004074522694743621,-0.004074522694743621
8.1,7.900337643253544e-05,1.114496760318148,-11.457831204232125,11.457831204219442,3.004990461841217e-05,0.0049799597765165515,-0.0049799597765165515
8.4,8.184902379586577e-05,1.1145971461081612,-11.328904865429974,11.328904865416625,3.4741832759310753e-05,0.005864712730735633,-0.005864712730735633
8.700000000000001,8.471873985633541e-05,1.1144315463786392,-11.19995709780134,11.199957097787314,3.839349864342978e-05,0.006708018837478846,-0.006708018837478846
9.0,8.761280237879875e-05,1.113845124116993,-11.070983748814573,11.07098374879984,4.2380512356055e-05,0.007490301600704186,-0.007490301600704186
9.3,9.053088281140214e-05,1.1136453607288415,-10.941981102760357,10.941981102744894,4.663374952196264e-05,0.00819350819808129,-0.00819350819808129
9.6,9.347221250110562e-05,1.1132289936181214,-10.812945923153054,10.812945923136837,5.340285243138343e-05,0.008801337315501812,-0.008801337315501812
9.9,9.64354867346343e-05,1.1124370690527194,-10.683875490536124,10.683875490519144,5.8040680984805526e-05,0.009299401538534369,-0.009299401538534369
10.200000000000001,9.941866902000167e-05,1.1119466697066693,-10.554767615765737,10.554767615747961,6.262806063672688e-05,0.009675366442973399,-0.009675366442973399
10.5,0.0001024189734019728,1.1113830821578665,-10.42562062988002,10.425620629861424,6.972795673176879e-05,0.009919071551150793,-0.009919071551150793
10.8,0.0001054330672307443,1.1104928732508554,-10.296433356670228,10.29643335665079,7.394030772323035e-05,0.010022627138722484,-0.010022627138722484
11.1,0.00010845732692897171,1.109738516254823,-10.16720508526983,10.167205085249527,7.779845496602711e-05,0.009980467711882213,-0.009980467711882213
11.4,0.00011148808787858146,1.109139636724514,-10.037935545691978,10.037935545670775,8.394841956982368e-05,0.009789363358096992,-0.009789363358096992
11.700000000000001,0.00011452194265352927,1.1082562755330085,-9.908624880508755,9.90862488048663,8.687858103617607e-05,0.00944840032918215,-0.00944840032918215
12.0,0.0001175560617911688,1.1073163627609204,-9.779273613761765,9.779273613738694,8.930677477458904e-05,0.00895893008690507,-0.00895893008690507
12.3,0.00012058836583048257,1.1068021295995039,-9.649882609810469,9.649882609786417,9.373947139801331e-05,0.00832449471676,-0.00832449471676
12.6,0.00012361741090858056,1.106038020293774,-9.52045303855576,9.520453038530702,9.510502785681219e-05,0.007550708622227731,-0.007550708622227731
12.9,0.00012664210122666943,1.1050337552168956,-9.390986349744013,9.390986349717917,9.602464991464998e-05,0.006645100214408117,-0.006645100214408117
13.200000000000001,0.00012966148511250544,1.1046318913031397,-9.261484266638746,9.261484266611586,9.86675484188071e-05,0.005616912441301025,-0.005616912441301025
