t,H_err,Max_Rho,CM_Left,CM_Right,Radiation,Phase_Shift_Left,Phase_Shift_Right
0.0,4.2238885758359707e-08,1.5853478356403192,-19.93135618262256,19.931356182620934,6.5703158584895505e-06,0.0,0.0
0.2,1.6898325365603227e-05,1.5735867127014669,-19.730731497593386,19.730733204935913,6.6908917416563796e-06,0.0,0.0
0.4,3.352805447962189e-05,1.5424906169944224,-19.530114343876246,19.530126466359622,6.667602473142686e-06,0.0,0.0
0.6,4.9763792794365134e-05,1.5024139396453682,-19.329512398355156,19.32954537405702,6.642040207283095e-06,0.0,0.0
0.8,6.55142532747228e-05,1.4624418050064272,-19.12893306302335,19.128989734103108,6.614473612720495e-06,0.0,0.0
1.0,8.07462231687421e-05,1.4269126874476403,-18.92838342292477,18.928451432339617,6.584933394337966e-06,0.0,0.0
1.2,9.546402360530229e-05,1.3971245291617396,-18.727870244848994,18.727917046457573,6.553109116680389e-06,0.0,0.0
1.4000000000000001,0.0001096963500079171,1.3726085393859493,-18.527399983324372,18.527370037073137,6.518249953346711e-06,0.0,0.0
1.6,0.00012348877790188824,1.3527357988620947,-18.32697877179388,18.326792555637653,6.479102959922045e-06,0.0,0.0
1.8,0.00013689933091585817,1.3368287492798065,-18.126612396496615,18.1261670169871,6.433851815978997e-06,0.0,0.0
2.0,0.0001499949299045931,1.3243388869226398,-17.926306260388465,17.925477391022802,6.380162076102813e-06,0.0,0.0
2.2,0.00016284768938302943,1.314623870840318,-17.726065344023034,17.724710128788207,6.3149856817101835e-06,-0.000351199404523328,0.000351199404523328
2.4,0.00017553115410028024,1.307226202743631,-17.525894166706713,17.523854706441142,6.237162191502499e-06,-0.00042555923418419184,0.00042555923418419184
2.6,0.0001881169551971169,1.3017771735147845,-17.325796748425436,17.3229038382194,6.127547893308716e-06,-0.0005067961552356337,0.0005067961552356337
2.8000000000000003,0.00020067207735208437,1.2979787970322945,-17.12577657219291,17.12185344004924,6.0161581779683004e-06,-0.0005943833030634948,0.0005943833030634948
3.0,0.00021325658163212692,1.2955877137339502,-16.925836546722255,16.920702425835394,5.913136665203211e-06,-0.0006876215108064798,0.0006876215108064798
3.2,0.00022592166221893525,1.2944026327568277,-16.725978970055547,16.71945240426015,5.724838876286498e-06,-0.0007856299218609308,0.0007856299218609308
3.4,0.00023870826171640605,1.294255692519576,-16.52620549539565,16.518107325817866,5.412908316571041e-06,-0.0008873383607159724,0.0008873383607159724
3.6,0.0002516467406444433,1.2950045457048873,-16.3265171007651,16.316673113747818,5.019338713552202e-06,-0.0009914825980281705,0.0009914825980281705
3.8000000000000003,0.0002647578918755479,1.2965725245101236,-16.126914064202147,16.115157300391132,5.320035323941319e-06,-0.0010966034937816005,0.0010966034937816005
4.0,0.0002780549826958729,1.2988473317818585,-15.927395946065277,15.913568681292906,6.1946615425023666e-06,-0.0012010507291169148,0.0012010507291169148
4.2,0.0002915460251976296,1.3016975979987415,-15.727961579758174,15.711916993624977,7.938728837864062e-06,-0.0007515541099021306,0.0007515541099021306
4.4,0.0003052355364217997,1.3050342963124013,-15.528609071887175,15.510212622731247,9.757639426344333e-06,-0.00017086920921016713,0.00017086920921016713
4.6000000000000005,0.00031912551006079483,1.3087780733411556,-15.329335812490424,15.308466338470678,1.1864944702066893e-05,0.0005445932445908852,-0.0005445932445908852
4.8,0.0003332157441080053,1.3128529453113582,-15.13013849556418,15.106689060938868,1.590426372954923e-05,0.0013964438482698682,-0.0013964438482698682
5.0,0.00034750378812559705,1.317193195372544,-14.931013149735103,14.904891654343675,2.1884742811284497e-05,0.0023841742721835146,-0.0023841742721835146
5.2,0.00036198470117449757,1.3217326871027155,-14.731955178533733,14.703084747443489,3.109193093164819e-05,0.0035050251112451747,-0.0035050251112451747
5.4,0.0003766507819609845,1.326415050416225,-14.532959409538309,14.5012785784265,4.427680910734644e-05,0.00475388354406725,-0.00475388354406725
5.6000000000000005,0.00039149146003308774,1.3311839611475524,-14.334020151418592,14.29948286209131,6.216702180672495e-05,0.006123224346442413,-0.006123224346442413
5.8,0.0004064935574411245,1.3359858366457782,-14.135131257755027,14.097706677724457,8.513915512387005e-05,0.0076030987960624685,-0.0076030987960624685
6.0,0.0004216420935690193,1.3407743720768242,-13.936286196286453,13.895958375750268,0.00011320869248410137,0.009181172060674925,-0.009181172060674925
6.2,0.00043692166746445616,1.3455071760189616,-13.737478122277375,13.69424550168152,0.00014608095452006697,0.010842809291888855,-0.010842809291888855
6.4,0.00045231816178197774,1.3501431541418178,-13.538699954600023,13.492574736977916,0.0001832337908720394,0.01257121118095661,-0.01257121118095661
6.6000000000000005,0.000467820132820714,1.3546468082144905,-13.339944452335939,13.29095185671608,0.0002240062783031016,0.014347600052779796,-0.014347600052779796
6.8,0.0004834194526349151,1.3590793212732275,-13.141204290552086,13.089381704217466,0.0002793013953373835,0.01615145479116009,-0.01615145479116009
7.0,0.0004991108542476497,1.3633573059085802,-12.942472133556798,12.88786818161889,0.00032610201342309075,0.01796079115979765,-0.01796079115979765
7.2,0.0005148900534417538,1.367419137907612,-12.74374070122046,12.686414253274753,0.0003742430654565254,0.019752484523852587,-0.019752484523852587
7.4,0.0005307520068613461,1.3712437949665086,-12.545002831179257,12.485021961414299,0.00042312188248538884,0.02150262132622416,-0.02150262132622416
7.6000000000000005,0.0005466897775842463,1.3748101386141314,-12.346251539097926,12.283692451763965,0.0004722262441293479,0.0231868670415043,-0.0231868670415043
7.8,0.0005626909151095682,1.378103051805096,-12.147480063273251,12.082426001255074,0.0005211345808315837,0.024780855379690436,-0.024780855379690436
8.0,0.000578732716845759,1.381113110972054,-11.948681892193216,11.881222048893477,0.0005695111991437241,0.02626058387001784,-0.02626058387001784
8.2,0.0005947837321716517,1.3838288344075376,-11.749850800941458,11.68007923826181,0.000617098306016306,0.027602773011473403,-0.027602773011473403
8.4,0.0006108129651910297,1.3862479676077755,-11.550980907485453,11.478995473501996,0.0006637045189147317,0.028785177073810786,-0.028785177073810786
8.6,0.0006267988954309386,1.3883666500042806,-11.352066715699534,11.277967980498607,0.0007091949600626091,0.029786887789173377,-0.029786887789173377
8.8,0.0006427307377646895,1.3901871941910942,-11.153103108146594,11.076993358438786,0.0007534796792219023,0.03058865783372866,-0.03058865783372866
9.0,0.0006586009982076183,1.391708882622811,-10.95408530523979,10.876067615127985,0.0007965009266918122,0.03117319444957367,-0.03117319444957367
9.200000000000001,0.000674393545660512,1.392937113442134,-10.755008859834506,10.675186212965565,0.0008382360505001518,0.031525331294149694,-0.031525331294149694
9.4,0.0006900738205225883,1.3938815039142913,-10.555869744001386,10.47434417611145,0.0008786712017219145,0.03163204572791756,-0.03163204572791756
9.6,0.0007055878826172712,1.3945830526348337,-10.356664509382334,10.27353626613166,0.000917816389509607,0.031482406718088995,-0.031482406718088995
9.8,0.0007208734874324078,1.3951097715419507,-10.157390428391306,10.072757153167903,0.0009560530781016485,0.03106760497436767,-0.03106760497436767
10.0,0.0007358800563122162,1.3953798058946738,-9.958045514537332,9.872001487376048,0.0009926830209806559,0.030381162802763484,-0.030381162802763484
10.200000000000001,0.0007505892761040644,1.3954073063326429,-9.758628393240656,9.67126385036664,0.0010281188240943706,0.02941927228593144,-0.02941927228593144
10.4,0.000765027589219538,1.3952064581624164,-9.559138097383736,9.470538668035019,0.0010759451176588497,0.028181081003461728,-0.028181081003461728
10.6,0.0007792658894536726,1.3947919246336562,-9.35957391935915,9.269820200829049,0.0011088460420657364,0.026668738285710702,-0.026668738285710702
10.8,0.0007934071876436753,1.3941795338833989,-9.159935421062007,9.069102668855754,0.001140652567307665,0.02488714559449612,-0.02488714559449612
11.0,0.0008075667477720463,1.393384858766385,-8.960222609365287,8.868380475870575,0.0011716247045062689,0.022843532340134587,-0.022843532340134587
11.200000000000001,0.0008218505055009895,1.3924224820972921,-8.760436194773742,8.667648440613615,0.0012018780794958994,0.020547080097733428,-0.020547080097733428
11.4,0.0008363372477269998,1.3913078349569177,-8.560577814144661,8.466901950330996,0.0012312639153211347,0.01800878898532865,-0.01800878898532865
11.6,0.0008510683653583556,1.3900672610651514,-8.360650127686107,8.266137003301816,0.0012598369789500463,0.015241654073019362,-0.015241654073019362
11.8,0.0008660459508562588,1.3887134717571226,-8.160656760780908,8.065350159263314,0.0012880862203561438,0.012261081584739486,-0.012261081584739486
12.0,0.0008812370092207155,1.387266964413216,-7.960602119012734,7.864538446188717,0.001316409352240866,0.009085373209320124,-0.009085373209320124
12.200000000000001,0.000896580867960481,1.3857425794214318,-7.760491130513039,7.663699268637013,0.0013446808656868425,0.005736097132228224,-0.005736097132228224
12.4,0.0009119982878392475,1.3841557445107453,-7.560328969518624,7.462830344478088,0.0013726192421432692,0.0022382327317718165,-0.0022382327317718165
12.6,0.0009274018563608053,1.3825174530651416,-7.360120799167612,7.261929673051752,0.0014004071605474566,-0.0013799456816094846,0.0013799456816094846
12.8,0.000942706767363731,1.3809447795657868,-7.159871556270263,7.060995522576948,0.0014287457437045514,-0.005087256519678007,0.005087256519678007
13.0,0.0009578402437951682,1.3793494224684535,-6.959585787761811,6.8600264197659815,0.0014582826171828378,-0.008850282858905878,0.008850282858905878
13.200000000000001,0.0009727481728456494,1.37775422167581,-6.759267539752461,6.659021120813438,0.0014891411443260782,-0.012634313390869067,0.012634313390869067
13.4,0.0009873987947347834,1.3761667860404363,-6.558920283432278,6.457978543146008,0.0015210138832038034,-0.016404450949406346,0.016404450949406346
13.6,0.0010017840907016265,1.3746014486392046,-6.358546837255494,6.256897628654516,0.0015535986685597525,-0.02012670650494819,0.02012670650494819
13.8,0.0010159191299687076,1.3730535208049166,-6.158149211613789,6.055777102612769,0.0015869412239802871,-0.023768900691959693,0.023768900691959693
14.0,0.0010298389241753774,1.371526701893343,-5.957728262864389,5.854615079027527,0.0016293775161734247,-0.027301312940331002,0.027301312940331002
14.200000000000001,0.0010435926054822614,1.3700392077752894,-5.757283006752132,5.653408444572046,0.0016690065330999815,-0.030697212424900755,0.030697212424900755
14.4,0.001057235886552765,1.368610244643988,-5.5568094026332,5.452151925841012,0.0017075065490611552,-0.033933579142122916,0.033933579142122916
14.6,0.001070823455936666,1.3672426344599389,-5.356298383209546,5.250836715099152,0.0017483500161222798,-0.03699243025496468,0.03699243025496468
14.8,0.0010844023401082874,1.3659641540246683,-5.15573285392128,5.049448473792358,0.0017915073873331355,-0.03986321326295528,0.03986321326295528
15.0,0.0010980058114397292,1.3647923247853095,-4.9550833155594,4.8479644744936,0.001836751999034325,-0.042546807852372304,0.042546807852372304
15.200000000000001,0.001111646278489316,1.3637306323454388,-4.754301663191138,4.646349568989472,0.0018836902124143018,-0.045061884972052546,0.045061884972052546
15.4,0.0011253052668919173,1.3627622886811457,-4.553312579695879,4.444550526534351,0.001931829883609737,-0.047454750198054896,0.047454750198054896
15.6,0.0011389190089105107,1.3619195835875149,-4.352001787914698,4.242488207276046,0.001980692281211338,-0.049814358512778156,0.049814358512778156
